Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID6453,6453,7,3.367,362.016,262.417,0,0,0,7,1,-10921639,238.668,255,113,255,98570,28.963,11.377,0.296,3.768
ID6437,6437,7,3.444,362.503,263.388,0,1,1,7,1,-10921639,231.709,255,96,255,95696,36.965,11.334,0.307,2.946
ID6468,6468,7,3.312,364.302,262.871,0,2,2,7,1,-10921639,235.763,255,96,255,97370,32.074,15.632,0.292,3.319
ID6424,6424,7,3.200,362.955,262.950,0,3,3,7,1,-10921639,242.615,255,150,255,100200,22.094,15.670,0.277,4.770
ID6497,6497,7,3.190,364.172,263.114,0,4,4,7,1,-10921639,236.913,255,137,255,97845,29.806,15.524,0.274,3.424
ID6482,6482,7,3.253,364.749,261.583,0,5,5,7,1,-10921639,231.947,255,108,255,95794,35.062,15.561,0.285,2.931
ID6528,6528,7,3.198,363.599,262.372,0,6,6,7,1,-10921639,239.857,255,138,255,99061,25.515,15.575,0.276,4.069
ID6512,6512,7,3.235,364.366,264.193,0,7,7,7,1,-10921639,230.956,255,121,255,95385,34.199,19.022,0.286,3.002
ID6542,6542,7,3.222,363.442,264.724,0,8,8,7,1,-10921639,234.760,255,126,255,96956,30.340,15.585,0.281,3.394
ID6561,6561,7,3.123,362.920,266.261,0,9,9,7,1,-10921639,241.269,255,162,255,99644,22.466,22.159,0.270,4.563
ID6577,6577,7,3.172,365.276,264.078,0,10,10,7,1,-10921639,232.964,255,142,255,96214,30.362,25.211,0.275,3.310
ID6593,6593,7,3.075,365.044,263.774,0,11,11,7,1,-10921639,233.448,255,141,255,96414,30.912,18.780,0.257,3.089
ID6611,6611,7,3.453,366.575,264.234,0,12,12,7,1,-10921639,233.985,255,129,255,96636,33.595,15.495,0.311,3.302
ID6648,6648,7,3.354,365.560,264.067,0,13,13,7,1,-10921639,229.324,255,104,255,94711,35.868,18.472,0.305,2.990
ID6630,6630,7,3.472,365.882,264.681,0,14,14,7,1,-10921639,231.448,255,118,255,95588,36.858,18.687,0.313,2.991
ID6665,6665,7,3.321,365.582,265.045,0,15,15,7,1,-10921639,236.269,255,115,255,97579,30.494,18.622,0.294,3.522
ID6682,6682,7,3.482,365.506,264.804,0,16,16,7,1,-10921639,229.160,255,95,255,94643,38.668,18.480,0.316,2.846
ID6700,6700,7,3.634,366.899,263.660,0,17,17,7,1,-10921639,228.901,255,87,255,94536,38.736,11.356,0.340,2.996
ID6716,6716,7,3.729,367.587,264.231,0,18,18,7,1,-10921639,221.131,255,65,255,91327,51.205,11.300,0.353,2.252
ID6731,6731,7,3.611,365.709,266.102,0,19,19,7,1,-10921639,222.695,255,39,255,91973,48.354,11.299,0.333,2.303
ID6747,6747,7,3.683,367.640,264.363,0,20,20,7,1,-10921639,223.174,255,70,255,92171,46.798,11.321,0.350,2.471
ID6779,6779,7,3.811,366.138,264.984,0,21,21,7,1,-10921639,230.068,255,84,255,95018,40.562,15.365,0.366,3.038
ID6762,6762,7,3.611,367.050,264.977,0,22,22,7,1,-10921639,223.358,255,69,255,92247,47.425,11.283,0.335,2.362
ID6796,6796,7,3.748,367.310,265.101,0,23,23,7,1,-10921639,228.303,255,59,255,94289,44.486,11.325,0.354,2.683
ID6815,6815,7,3.856,365.915,264.674,0,24,24,7,1,-10921639,225.252,255,58,255,93029,46.537,11.305,0.371,2.622
ID6832,6832,7,3.681,367.015,264.390,0,25,25,7,1,-10921639,224.581,255,63,255,92752,45.534,11.326,0.347,2.540
ID6850,6850,7,3.797,365.295,264.964,0,26,26,7,1,-10921639,236.966,255,103,255,97867,34.416,15.397,0.361,3.651
ID6869,6869,7,3.599,366.469,264.714,0,27,27,7,1,-10921639,225.184,255,83,255,93001,42.467,15.456,0.341,2.700
ID6887,6887,7,3.840,366.224,263.718,0,28,28,7,1,-10921639,232.978,255,105,255,96220,37.462,15.574,0.368,3.349
ID6906,6906,7,3.643,365.732,264.256,0,29,29,7,1,-10921639,233.673,255,126,255,96507,35.991,18.345,0.338,3.282
ID6924,6924,7,3.667,365.824,264.684,0,30,30,7,1,-10921639,229.291,255,80,255,94697,41.712,18.356,0.342,2.799
ID6941,6941,7,3.543,365.879,264.859,0,31,31,7,1,-10921639,224.743,255,86,255,92819,43.598,15.484,0.327,2.543
ID6958,6958,7,3.584,366.488,265.368,0,32,32,7,1,-10921639,228.755,255,84,255,94476,40.975,15.552,0.334,2.795
ID6975,6975,7,3.552,365.736,265.357,0,33,33,7,1,-10921639,231.499,255,98,255,95609,38.951,15.586,0.325,2.913
ID6991,6991,7,3.438,364.914,266.283,0,34,34,7,1,-10921639,237.605,255,110,255,98131,33.004,19.190,0.310,3.412
ID7008,7008,7,3.590,365.824,264.876,0,35,35,7,1,-10921639,230.554,255,114,255,95219,38.552,18.366,0.332,2.984
ID7025,7025,7,3.469,364.522,266.657,0,36,36,7,1,-10921639,235.346,255,106,255,97198,35.273,18.475,0.311,3.168
ID7057,7057,7,3.494,366.063,265.499,0,37,37,7,1,-10921639,226.625,255,84,255,93596,42.934,18.788,0.320,2.558
ID7041,7041,7,3.516,365.560,266.284,0,38,38,7,1,-10921639,236.484,255,101,255,97668,34.227,15.550,0.318,3.333
ID7074,7074,7,3.360,365.386,265.802,0,39,39,7,1,-10921639,232.247,255,100,255,95918,37.056,18.456,0.297,2.870
ID7091,7091,7,3.548,365.433,265.374,0,40,40,7,1,-10921639,229.177,255,70,255,94650,42.623,11.332,0.323,2.625
ID7108,7108,7,3.459,365.258,266.996,0,41,41,7,1,-10921639,235.462,255,114,255,97246,33.368,15.472,0.310,3.343
ID7127,7127,7,3.403,365.632,266.700,0,42,42,7,1,-10921639,229.857,255,102,255,94931,40.055,15.491,0.303,2.671
ID7144,7144,7,3.437,365.715,266.159,0,43,43,7,1,-10921639,226.034,255,96,255,93352,43.793,18.568,0.311,2.452
ID7161,7161,7,3.323,366.232,266.846,0,44,44,7,1,-10921639,235.770,255,109,255,97373,33.638,25.438,0.291,3.164
ID7177,7177,7,3.442,365.931,267.497,0,45,45,7,1,-10921639,240.712,255,135,255,99414,27.930,25.634,0.310,4.076
ID7195,7195,7,3.410,367.052,266.139,0,46,46,7,1,-10921639,235.092,255,108,255,97093,35.578,25.313,0.304,3.079
ID7211,7211,7,3.674,365.971,267.749,0,47,47,7,1,-10921639,236.061,255,120,255,97493,35.669,18.406,0.343,3.377
ID7227,7227,7,3.638,367.290,268.586,0,48,48,7,1,-10921639,236.622,255,111,255,97725,36.003,15.379,0.336,3.305
ID7242,7242,7,3.549,366.106,269.086,0,49,49,7,1,-10921639,233.269,255,102,255,96340,37.827,11.322,0.322,3.003
ID7262,7262,7,3.597,367.958,267.580,0,50,50,7,1,-10921639,236.906,255,112,255,97842,34.913,18.624,0.333,3.392
ID7282,7282,7,3.618,366.878,267.091,0,51,51,7,1,-10921639,239.751,255,115,255,99017,31.551,15.569,0.336,3.819
ID7300,7300,7,3.912,366.901,266.600,0,52,52,7,1,-10921639,238.339,255,78,255,98434,35.918,15.475,0.378,3.643
ID7315,7315,7,3.489,366.280,267.087,0,53,53,7,1,-10921639,235.511,255,119,255,97266,35.252,18.600,0.318,3.220
ID7330,7330,7,3.920,370.691,263.933,0,54,54,7,1,-10921639,241.443,255,123,255,99716,28.657,15.319,0.384,4.679
ID7346,7346,7,3.629,368.158,267.901,0,55,55,7,1,-10921639,232.073,255,97,255,95846,38.881,15.397,0.336,3.004
ID7362,7362,7,3.580,369.336,265.870,0,56,56,7,1,-10921639,236.191,255,127,255,97547,33.620,18.582,0.328,3.471
ID7379,7379,7,3.571,367.015,270.605,0,57,57,7,1,-10921639,237.632,255,117,255,98142,33.919,15.500,0.327,3.451
ID7395,7395,7,3.803,366.923,270.332,0,58,58,7,1,-10921639,240.516,255,98,255,99333,31.883,15.352,0.362,4.008
ID7413,7413,7,3.587,365.723,272.312,0,59,59,7,1,-10921639,254.746,255,230,255,105210,2.033,17.833,0.345,64.274
ID7433,7433,7,3.927,364.592,274.957,0,60,60,7,1,-10921639,247.835,255,158,255,102356,19.740,15.343,0.392,7.067
ID7451,7451,7,3.824,362.334,277.413,0,61,61,7,1,-10921639,242.484,255,135,255,100146,27.351,15.435,0.372,4.809
ID7485,7485,7,3.089,368.685,280.505,0,63,63,7,1,-10921639,245.189,255,155,255,101263,22.651,26.600,0.262,4.498
ID7502,7502,7,3.928,365.121,277.071,0,64,64,7,1,-10921639,247.685,255,153,255,102294,20.454,15.291,0.387,6.762
ID7521,7521,7,3.774,366.152,275.938,0,65,65,7,1,-10921639,240.482,255,141,255,99319,28.899,15.337,0.359,4.400
ID7539,7539,7,3.387,363.009,277.405,0,66,66,7,1,-10921639,251.801,255,190,255,103994,10.958,18.843,0.318,11.086
ID7555,7555,7,3.931,365.088,275.336,0,67,67,7,1,-10921639,252.102,255,171,255,104118,10.937,15.485,0.392,12.988
ID7572,7572,7,3.580,364.409,279.836,0,68,68,7,1,-10921639,252.969,255,198,255,104476,7.831,15.607,0.343,16.517
ID7590,7590,7,3.447,364.201,279.913,0,69,69,7,1,-10921639,243.571,255,146,255,100595,25.990,15.496,0.313,4.473
ID7607,7607,7,3.669,363.470,277.270,0,70,70,7,1,-10921639,252.276,255,173,255,104190,10.162,15.428,0.353,12.946
ID7623,7623,7,3.723,363.632,280.511,0,71,71,7,1,-10921639,236.673,255,108,255,97746,36.033,11.394,0.353,3.427
ID7641,7641,7,3.407,364.864,285.884,0,72,72,7,1,-10921639,248.470,255,170,255,102618,16.911,15.641,0.311,6.968
ID7658,7658,7,3.427,365.282,282.929,0,73,73,7,1,-10921639,243.354,255,133,255,100505,26.487,15.359,0.310,4.351
ID7673,7673,7,3.360,364.192,283.815,0,74,74,7,1,-10921639,251.068,255,180,255,103691,12.608,15.583,0.310,9.424
ID7704,7704,7,3.052,362.439,281.582,0,76,76,7,1,-10921639,249.310,255,175,255,102965,15.617,18.505,0.270,6.784
ID7720,7720,7,3.230,365.012,282.722,0,77,77,7,1,-10921639,249.407,255,179,255,103005,15.034,15.567,0.293,7.520
ID7766,7766,7,3.258,369.897,285.044,0,80,80,7,1,-10921639,242.126,255,146,255,99998,27.506,26.600,0.286,3.910
ID7781,7781,7,3.250,365.470,281.520,0,81,81,7,1,-10921639,250.755,255,184,255,103562,12.894,15.620,0.296,8.880
ID7799,7799,7,3.110,366.322,283.864,0,82,82,7,1,-10921639,245.729,255,144,255,101486,23.321,18.357,0.273,4.525
ID7817,7817,7,3.386,363.256,283.877,0,83,83,7,1,-10921639,253.443,255,200,255,104672,6.679,15.525,0.317,18.262
ID7835,7835,7,3.739,368.733,285.233,0,84,84,7,1,-10921639,249.053,255,160,255,102859,17.981,15.485,0.361,7.349
ID7867,7867,7,3.452,368.430,284.436,0,85,85,7,1,-10921639,252.714,255,189,255,104371,9.268,15.680,0.328,13.460
ID7851,7851,7,3.519,368.972,280.280,0,86,86,7,1,-10921639,236.395,255,86,255,97631,40.573,11.376,0.319,2.821
ID7883,7883,7,3.812,367.544,279.617,0,87,87,7,1,-10921639,238.169,255,42,255,98364,44.692,11.454,0.367,2.862
ID7902,7902,7,3.946,365.950,282.750,0,88,88,7,1,-10921639,244.535,255,69,255,100993,31.809,15.112,0.390,4.311
ID7921,7921,7,3.797,364.239,282.658,0,89,89,7,1,-10921639,239.985,255,141,255,99114,28.146,15.341,0.369,4.593
ID7935,7935,7,3.700,369.225,283.837,0,90,90,7,1,-10921639,238.262,255,107,255,98402,34.074,11.426,0.348,3.613
ID7950,7950,7,3.383,370.394,278.371,0,91,91,7,1,-10921639,228.308,255,35,255,94291,50.751,11.261,0.298,2.068
ID7964,7964,7,3.941,366.672,281.892,0,92,92,7,1,-10921639,240.160,255,81,255,99186,33.760,11.489,0.388,3.974
ID7993,7993,7,3.241,365.961,288.278,0,93,93,7,1,-10921639,250.201,255,165,255,103333,15.515,18.031,0.295,7.354
ID7979,7979,7,3.637,368.394,285.928,0,94,94,7,1,-10921639,246.034,255,93,255,101612,25.731,15.219,0.342,4.874
ID8006,8006,7,3.383,368.638,290.901,0,95,95,7,1,-10921639,236.511,255,64,255,97679,39.898,11.367,0.303,2.754
ID8021,8021,7,3.482,372.408,288.979,0,96,96,7,1,-10921639,238.228,255,70,255,98388,38.416,11.394,0.317,2.988
ID6455,6455,9,4.090,215.159,487.194,0,0,0,7,1,-10921639,204.276,220,53,255,84366,54.819,11.277,0.440,2.276
ID6440,6440,9,4.353,215.689,491.314,0,1,1,7,1,-10921639,208.085,226,70,255,85939,51.400,11.191,0.460,2.552
ID6470,6470,9,4.424,217.624,488.962,0,2,2,7,1,-10921639,214.240,239,75,255,88481,50.414,11.260,0.472,2.727
ID6426,6426,9,4.376,221.810,484.266,0,3,3,7,1,-10921639,216.891,241,85,255,89576,46.618,11.268,0.461,2.936
ID6500,6500,9,4.247,221.682,482.506,0,4,4,7,1,-10921639,216.240,235,94,255,89307,44.932,11.293,0.443,2.955
ID6485,6485,9,4.217,223.201,479.636,0,5,5,7,1,-10921639,226.746,255,115,255,93646,38.755,11.378,0.434,3.543
ID6531,6531,9,4.015,223.995,480.671,0,6,6,7,1,-10921639,221.114,255,86,255,91320,46.214,11.348,0.409,2.777
ID6515,6515,9,4.049,225.969,478.830,0,7,7,7,1,-10921639,221.799,254,97,255,91603,44.820,15.188,0.424,2.948
ID6545,6545,9,4.031,224.407,479.798,0,8,8,7,1,-10921639,217.920,249,86,255,90001,49.391,15.347,0.424,2.627
ID6564,6564,9,4.182,221.113,481.815,0,9,9,7,1,-10921639,206.305,229,80,255,85204,53.841,11.193,0.436,2.326
ID6581,6581,9,4.135,220.393,480.980,0,10,10,7,1,-10921639,203.053,218,92,255,83861,51.658,11.139,0.425,2.346
ID6597,6597,9,4.133,219.784,486.627,0,11,11,7,1,-10921639,204.508,219,92,255,84462,52.295,11.171,0.423,2.323
ID6616,6616,9,4.207,215.537,495.795,0,12,12,7,1,-10921639,214.637,236,103,255,88645,46.782,11.266,0.433,2.774
ID6652,6652,9,4.607,211.851,500.376,0,13,13,7,1,-10921639,228.513,255,101,255,94376,38.681,11.390,0.502,3.951
ID6634,6634,9,4.292,212.690,501.630,0,14,14,7,1,-10921639,229.245,253,121,255,94678,33.013,11.389,0.448,4.297
ID6669,6669,9,4.428,215.781,501.454,0,15,15,7,1,-10921639,226.099,255,104,255,93379,42.732,11.353,0.470,3.382
ID6687,6687,9,4.736,214.056,500.819,0,16,16,7,1,-10921639,229.061,255,105,255,94602,41.511,11.399,0.527,3.808
ID6704,6704,9,4.109,215.066,502.210,0,17,17,7,1,-10921639,212.370,247,59,255,87709,55.648,11.272,0.426,2.278
ID6719,6719,9,4.500,214.891,501.605,0,18,18,7,1,-10921639,223.259,252,87,255,92206,43.787,11.338,0.489,3.348
ID6734,6734,9,4.747,212.121,502.298,0,19,19,7,1,-10921639,233.753,255,101,255,96540,36.735,11.437,0.527,4.391
ID6750,6750,9,4.550,211.992,505.323,0,20,20,7,1,-10921639,219.012,255,48,255,90452,53.531,11.298,0.491,2.696
ID6783,6783,9,4.829,210.228,506.685,0,21,21,7,1,-10921639,225.738,255,73,255,93230,47.158,11.358,0.542,3.366
ID6767,6767,9,4.696,209.863,509.664,0,22,22,7,1,-10921639,220.690,255,63,255,91145,52.815,11.304,0.518,2.851
ID6802,6802,9,4.959,209.114,510.881,0,23,23,7,1,-10921639,223.126,255,48,255,92151,51.361,11.338,0.570,3.155
ID6820,6820,9,4.938,207.772,515.449,0,24,24,7,1,-10921639,228.438,255,65,255,94345,43.825,11.396,0.564,3.759
ID6837,6837,9,4.781,206.158,517.228,0,25,25,7,1,-10921639,226.722,255,75,255,93636,47.029,11.356,0.531,3.346
ID6855,6855,9,4.898,205.710,519.071,0,26,26,7,1,-10921639,226.763,255,55,255,93653,49.899,11.372,0.556,3.248
ID6874,6874,9,4.521,206.839,517.767,0,27,27,7,1,-10921639,227.370,255,82,255,93904,46.889,11.350,0.481,3.152
ID6892,6892,9,4.809,206.639,516.362,0,28,28,7,1,-10921639,224.932,255,60,255,92897,52.539,11.350,0.540,3.003
ID6911,6911,9,4.263,203.845,517.143,0,29,29,7,1,-10921639,199.252,255,15,255,82291,78.089,11.155,0.455,1.595
ID6928,6928,9,4.524,201.636,521.037,0,30,30,7,1,-10921639,203.424,255,19,255,84014,71.042,11.171,0.498,1.904
ID6946,6946,9,4.685,201.673,522.612,0,31,31,7,1,-10921639,218.119,255,54,255,90083,59.705,11.288,0.521,2.503
ID6962,6962,9,4.742,200.487,523.800,0,32,32,7,1,-10921639,221.402,255,46,255,91439,56.389,11.318,0.534,2.734
ID6980,6980,9,4.481,195.456,531.970,0,33,33,7,1,-10921639,238.051,255,57,255,98315,39.652,11.486,0.478,3.884
ID6996,6996,9,4.469,195.400,530.908,0,34,34,7,1,-10921639,250.312,255,141,255,103379,16.231,15.417,0.480,10.005
ID7014,7014,9,4.366,194.015,533.616,0,35,35,7,1,-10921639,250.075,255,179,255,103281,14.699,15.611,0.461,10.734
ID7031,7031,9,4.262,189.865,539.721,0,36,36,7,1,-10921639,246.988,255,120,255,102006,21.081,15.549,0.444,7.210
ID7064,7064,9,4.116,190.280,542.088,0,37,37,7,1,-10921639,248.501,255,155,255,102631,17.622,18.152,0.429,8.471
ID7047,7047,9,3.990,189.129,545.952,0,38,38,7,1,-10921639,237.935,255,97,255,98267,33.630,18.304,0.411,4.125
ID7081,7081,9,3.754,191.445,544.586,0,39,39,7,1,-10921639,226.492,255,45,255,93541,46.712,15.558,0.360,2.567
ID7098,7098,9,3.755,190.393,543.563,0,40,40,7,1,-10921639,225.252,255,67,255,93029,45.899,18.627,0.366,2.627
ID7115,7115,9,3.878,192.064,542.650,0,41,41,7,1,-10921639,230.511,255,60,255,95201,43.807,11.380,0.378,2.885
ID7134,7134,9,3.839,191.161,547.777,0,42,42,7,1,-10921639,210.903,255,25,255,87103,64.026,11.251,0.372,1.785
ID7151,7151,9,3.764,188.958,553.727,0,43,43,7,1,-10921639,202.903,255,12,255,83799,72.924,11.108,0.354,1.454
ID7168,7168,9,4.015,186.162,559.493,0,44,44,7,1,-10921639,203.438,255,8,255,84020,74.658,11.103,0.391,1.533
ID7184,7184,9,4.284,186.933,558.076,0,45,45,7,1,-10921639,203.310,255,22,255,83967,73.803,11.149,0.442,1.689
ID7202,7202,9,4.391,185.835,565.864,0,46,46,7,1,-10921639,199.116,255,12,255,82235,79.935,11.075,0.462,1.574
ID7216,7216,9,4.396,185.270,571.637,0,47,47,7,1,-10921639,209.116,255,22,255,86365,70.528,11.166,0.456,1.858
ID7232,7232,9,4.627,188.050,571.246,0,48,48,7,1,-10921639,226.264,255,42,255,93447,53.276,11.348,0.502,2.838
ID7249,7249,9,4.691,187.874,568.580,0,49,49,7,1,-10921639,217.148,255,30,255,89682,61.177,11.275,0.517,2.418
ID7270,7270,9,4.464,189.372,566.638,0,50,50,7,1,-10921639,212.034,255,21,255,87570,65.756,11.211,0.474,2.074
ID7289,7289,9,4.307,187.288,569.493,0,51,51,7,1,-10921639,200.511,255,11,255,82811,76.274,11.079,0.450,1.631
ID7306,7306,9,4.577,188.148,571.422,0,52,52,7,1,-10921639,217.584,255,41,255,89862,57.761,11.258,0.499,2.508
ID7321,7321,9,4.703,189.772,567.064,0,53,53,7,1,-10921639,229.317,255,49,255,94708,48.549,11.376,0.518,3.224
ID7337,7337,9,4.581,187.729,569.684,0,54,54,7,1,-10921639,213.741,255,25,255,88275,62.137,11.231,0.499,2.289
ID7353,7353,9,4.300,185.238,576.957,0,55,55,7,1,-10921639,214.496,255,24,255,88587,65.534,11.208,0.442,2.007
ID7369,7369,9,4.619,186.384,576.799,0,56,56,7,1,-10921639,231.908,255,54,255,95778,45.709,11.396,0.500,3.383
ID7385,7385,9,4.683,188.662,573.762,0,57,57,7,1,-10921639,230.927,255,55,255,95373,47.551,11.391,0.513,3.294
ID7402,7402,9,4.733,191.113,567.704,0,58,58,7,1,-10921639,219.673,255,37,255,90725,58.188,11.298,0.527,2.606
ID7421,7421,9,4.453,187.925,574.556,0,59,59,7,1,-10921639,214.194,255,31,255,88462,63.376,11.213,0.470,2.160
ID7439,7439,9,4.311,185.961,581.622,0,60,60,7,1,-10921639,224.576,255,38,255,92750,55.837,11.307,0.442,2.467
ID7456,7456,9,4.725,187.114,577.184,0,61,61,7,1,-10921639,229.797,255,62,255,94906,48.041,11.382,0.522,3.280
ID7472,7472,9,4.439,186.942,576.581,0,62,62,7,1,-10921639,216.402,255,35,255,89374,62.283,11.247,0.471,2.224
ID7490,7490,9,4.291,185.385,580.366,0,63,63,7,1,-10921639,211.191,255,25,255,87222,69.494,11.143,0.438,1.853
ID7508,7508,9,4.484,187.242,577.103,0,64,64,7,1,-10921639,228.199,255,64,255,94246,48.512,11.352,0.475,3.031
ID7526,7526,9,4.362,189.337,575.287,0,65,65,7,1,-10921639,233.259,255,69,255,96336,44.481,11.389,0.454,3.274
ID7544,7544,9,4.235,187.498,578.637,0,66,66,7,1,-10921639,228.610,255,60,255,94416,47.701,11.332,0.432,2.890
ID7561,7561,9,4.394,187.953,582.015,0,67,67,7,1,-10921639,233.000,255,59,255,96229,44.255,11.409,0.460,3.320
ID7578,7578,9,4.315,189.458,577.931,0,68,68,7,1,-10921639,230.477,255,81,255,95187,42.578,11.388,0.448,3.349
ID7596,7596,9,4.412,189.733,572.563,0,69,69,7,1,-10921639,236.155,255,77,255,97532,37.637,11.445,0.468,3.999
ID7612,7612,9,3.911,185.180,581.245,0,70,70,7,1,-10921639,215.538,255,34,255,89017,61.159,11.179,0.379,1.939
ID7629,7629,9,4.406,186.494,580.530,0,71,71,7,1,-10921639,224.777,255,52,255,92833,50.921,11.377,0.466,2.804
ID7646,7646,9,4.162,187.724,580.453,0,72,72,7,1,-10921639,230.085,255,73,255,95025,43.880,11.408,0.424,3.121
ID7662,7662,9,4.124,185.708,582.873,0,73,73,7,1,-10921639,219.838,255,26,255,90793,60.383,11.328,0.420,2.154
ID7678,7678,9,3.969,182.256,590.313,0,74,74,7,1,-10921639,224.220,255,60,255,92603,50.535,11.283,0.391,2.492
ID7694,7694,9,4.042,185.361,586.899,0,75,75,7,1,-10921639,236.513,255,71,255,97680,37.550,11.454,0.403,3.618
ID7709,7709,9,4.062,183.145,586.485,0,76,76,7,1,-10921639,236.499,255,85,255,97674,38.065,11.464,0.409,3.608
ID7725,7725,9,4.100,181.704,590.132,0,77,77,7,1,-10921639,232.898,255,56,255,96187,43.245,11.412,0.414,3.153
ID7741,7741,9,4.001,181.298,588.080,0,78,78,7,1,-10921639,239.051,255,82,255,98728,38.704,11.460,0.399,3.525
ID7755,7755,9,4.014,183.531,588.400,0,79,79,7,1,-10921639,241.772,255,85,255,99852,33.431,15.078,0.400,4.131
ID7769,7769,9,3.837,180.281,592.591,0,80,80,7,1,-10921639,234.896,255,76,255,97012,41.526,11.385,0.375,3.085
ID7787,7787,9,3.858,180.482,589.808,0,81,81,7,1,-10921639,244.450,255,95,255,100958,30.399,15.158,0.377,4.404
ID7807,7807,9,3.908,182.427,587.300,0,82,82,7,1,-10921639,243.131,255,108,255,100413,30.059,15.302,0.384,4.492
ID7822,7822,9,3.626,173.856,598.577,0,83,83,7,1,-10921639,230.225,255,64,255,95083,50.600,11.305,0.331,2.260
ID7840,7840,9,3.945,176.059,593.924,0,84,84,7,1,-10921639,242.404,255,57,255,100113,35.853,11.535,0.393,3.814
ID7872,7872,9,3.622,171.197,604.546,0,85,85,7,1,-10921639,228.993,255,53,255,94574,52.653,11.281,0.331,2.161
ID7906,7906,9,3.719,177.474,594.791,0,88,88,7,1,-10921639,226.496,255,51,255,93543,49.734,11.294,0.353,2.377
ID7924,7924,9,3.927,180.701,590.300,0,89,89,7,1,-10921639,234.177,255,78,255,96715,39.145,11.411,0.385,3.323
ID7938,7938,9,3.407,178.480,593.669,0,90,90,7,1,-10921639,220.085,255,69,255,90895,50.340,11.317,0.320,2.117
ID7953,7953,9,3.161,185.265,587.972,0,91,91,7,1,-10921639,227.782,234,122,255,94074,29.222,15.331,0.299,3.592
ID7968,7968,9,3.640,183.329,588.861,0,92,92,7,1,-10921639,223.550,250,89,255,92326,40.968,11.426,0.357,2.869
ID7996,7996,9,3.711,178.468,591.577,0,93,93,7,1,-10921639,241.654,255,55,255,99803,37.436,11.514,0.351,3.352
ID7983,7983,9,3.894,177.965,591.767,0,94,94,7,1,-10921639,241.404,255,85,255,99700,35.326,11.500,0.381,3.773
ID8011,8011,9,3.617,174.540,596.083,0,95,95,7,1,-10921639,228.153,255,39,255,94227,52.538,11.317,0.332,2.165
ID8026,8026,9,3.849,176.856,592.935,0,96,96,7,1,-10921639,243.063,255,86,255,100385,33.764,11.554,0.376,3.934
ID6456,6456,10,4.581,206.560,506.488,0,0,0,7,1,-10921639,219.840,255,78,255,90794,47.320,11.403,0.516,3.164
ID6441,6441,10,4.599,202.530,514.809,0,1,1,7,1,-10921639,215.351,247,78,255,88940,49.762,11.333,0.507,2.911
ID6471,6471,10,4.551,199.866,522.937,0,2,2,7,1,-10921639,221.218,255,53,255,91363,49.006,11.359,0.495,2.987
ID6428,6428,10,4.500,196.960,532.340,0,3,3,7,1,-10921639,219.063,255,66,255,90473,51.431,11.311,0.485,2.783
